sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
32203289647,2021-05-17T08:29:00Z,82,20,20,42,89,65,0.13071895424836602
32187445655,2021-05-16T09:58:00Z,84,22,20,42,101,65,0.1279847182425979
32175779755,2021-05-15T11:26:00Z,88,23,19,46,107,64,0.10895660203139428
32162580675,2021-05-14T08:30:00Z,79,17,22,40,53,67,0.1024390243902439
32151329206,2021-05-13T10:09:00Z,84,22,20,42,84,66,0.122533748701973
32151329205,2021-05-12T08:25:30Z,79,21,20,38,81,66,0.16610169491525423
32125196735,2021-05-11T08:01:30Z,80,21,22,37,79,66,0.0911300121506683
32125196734,2021-05-10T09:31:00Z,81,21,21,39,65,65,0.09243697478991597
32125196733,2021-05-09T09:44:30Z,83,21,20,42,51,65,0.09282700421940929
32125196731,2021-05-08T09:25:00Z,81,22,20,39,83,65,0.10526315789473684
32125196730,2021-05-07T08:44:30Z,81,21,21,39,68,65,0.11261261261261261
32054326794,2021-05-06T08:43:00Z,80,21,20,39,70,67,0.13801452784503632
32054326793,2021-05-05T09:28:30Z,84,22,20,42,98,67,0.13150147203140333
32028791104,2021-05-04T10:50:00Z,76,21,19,36,40,67,0.14745308310991956
32018973825,2021-05-03T09:35:00Z,81,21,19,41,104,66,0.15838509316770186
32018973824,2021-05-02T10:01:30Z,78,21,18,39,73,66,0.14232558139534884
32018973823,2021-05-01T06:11:30Z,68,19,20,29,55,66,0.09361702127659574
31975272877,2021-04-30T08:50:00Z,80,23,17,40,107,65,0.1649269311064718
31960123057,2021-04-29T09:22:30Z,83,22,19,42,93,67,0.1550468262226847
31949073501,2021-04-28T08:58:00Z,84,23,19,42,110,69,0.1536050156739812
31949073500,2021-04-27T08:20:00Z,78,22,19,37,93,69,0.12430011198208286
31949073499,2021-04-26T09:11:30Z,77,21,18,38,71,70,0.1990686845168801
31949073498,2021-04-25T08:58:30Z,74,19,19,36,62,70,0.1316818774445893
31892655544,2021-04-24T11:04:30Z,85,23,17,45,107,69,0.18664383561643835
31891767320,2021-04-23T07:58:00Z,71,21,19,31,49,69,0.12115732368896925
31866549184,2021-04-22T09:32:00Z,77,21,20,36,71,67,0.10841983852364476
31852877418,2021-04-21T08:41:30Z,85,22,18,45,92,68,0.15835520559930008
31834859540,2021-04-20T07:35:30Z,76,20,20,36,46,69,0.15012722646310434
31824715796,2021-04-19T06:25:30Z,73,21,18,34,80,68,0.1437578814627995
31809630834,2021-04-18T10:17:30Z,82,22,18,42,113,68,0.18241042345276873
31808685357,2021-04-17T09:45:00Z,74,21,19,34,63,68,0.13689700130378096
31808685356,2021-04-16T09:51:30Z,81,21,20,40,75,68,0.13018322082931533
31769980241,2021-04-15T08:43:30Z,80,21,20,39,80,66,0.0832313341493268
31755466004,2021-04-14T09:34:00Z,81,22,19,40,93,66,0.1391484942886812
31755466003,2021-04-13T10:06:30Z,86,22,18,46,106,66,0.11531365313653137
31755466002,2021-04-12T08:17:30Z,77,21,19,37,51,66,0.10512820512820513
31707660071,2021-04-11T08:27:30Z,82,21,19,42,95,67,0.16510903426791276
31707660070,2021-04-10T07:38:00Z,77,21,16,40,43,67,0.09637305699481866
31707660069,2021-04-09T08:52:00Z,81,22,20,39,90,68,0.1504739336492891
31673040141,2021-04-08T07:23:30Z,80,18,20,42,92,70,0.14331550802139037
31653483948,2021-04-07T11:59:30Z,81,22,18,41,89,68,0.16203259827420902
31642708280,2021-04-06T10:06:30Z,81,22,18,41,94,67,0.18026183282980865
31622062956,2021-04-05T10:08:30Z,82,22,18,42,91,69,0.17266187050359713
31608775821,2021-04-04T10:29:30Z,80,22,18,40,86,69,0.16175071360608945
31595160584,2021-04-03T10:19:00Z,81,22,19,40,88,70,0.1623686723973257
31582481277,2021-04-02T09:18:00Z,75,20,18,37,66,69,0.19143239625167335
31570189228,2021-04-01T09:27:00Z,85,20,20,45,111,70,0.14443422263109476
31560037422,2021-03-31T09:03:00Z,84,22,19,43,92,70,0.11752360965372508
31560037421,2021-03-30T08:21:30Z,81,21,18,42,76,70,0.16505894962486603
